day_num  temp_min   temp_max
1	-11.77	5.7
2	4.48	10.35
3	-1.26	9.42
4	-6.31	8.63
5	-9.85	-4.03
6	-7.35	5.34
7	-12.97	-5.57
8	-15.15	-6.46
9	-11.54	-4.45
10	-11.54	9.43
11	-9.88	7.63
12	-3.9	9.15
13	-5.88	9.77
14	-7.79	9.56
15	-9.62	-2.26
16	-8.37	-5.78
17	-16.73	-8.02
18	-17.81	-13.69
19	-18.55	3.03
20	-9.49	2.42
21	-9.83	-0.26
22	-10.59	3.37
23	-17.14	0.76
24	-18.79	0.84
25	-7.33	3.26
26	-5.3	12.4
27	-5.88	10.42
28	-10.57	-2.05
29	-14.51	-1.35
30	-9.73	6.58
31	-5.15	8.85
32	-16.74	-2.81
33	-22.46	-16.56
34	-28.03	-22.37
35	-28.14	-24.79
36	-29.51	-21.36
37	-26.85	-16.02
38	-25.53	-11.14
39	-24.27	-13.32
40	-28.58	-24.16
41	-30.02	-24.08
42	-27.84	-20.91
43	-29.31	-17.37
44	-24.47	-17.09
45	-23.6	-10.51
46	-22.68	-16.61
47	-18.14	-15.05
48	-19.65	-16.59
49	-24.32	-14.47
50	-19.97	-1.44
51	-13.59	-4.6
52	-19.65	-9.54
53	-15.86	-0.08
54	-19.54	-5.56
55	-24.64	-17.18
56	-29.58	-17.82
57	-25.53	-11.4
58	-21.86	-2.83
59	-14.2	-4.11
60	-27.36	-8.74
61	-31.91	-20.45
62	-28.31	-13.93
63	-24.58	-7.36
64	-19.79	-6.94
65	-23.55	-11.98
66	-17.5	-8.76
67	-13.08	-4.51
68	-13.95	-3.04
69	-15.23	1.74
70	-3.54	10.26
71	-2.57	4.27
72	-6.4	1.31
73	-9.82	2
74	-3.94	3.13
75	-8.29	4.65
76	-5.97	9.7
77	-2.13	11.63
78	-1.81	15.86
79	-1.44	16.64
80	-1.66	13.44
81	-2.53	14.84
82	-2.3	10.47
83	-1.14	1.44
84	-1.91	10.57
85	-0.42	13.31
86	-2.33	5.58
87	-3.84	8.19
88	-3.21	9.79
89	-2.37	12.75
90	0.1	9.89
91	-0.65	8.65
92	-4.19	9.97
93	-4.57	12.77
94	0.77	12.25
95	-2.16	10.38
96	-0.1	13.19
97	-0.25	13
98	-2.16	13.15
99	-4.49	13.06
100	1.63	11.78
101	0.07	5.07
102	-1.48	7.39
103	-2.73	11.32
104	-0.66	9.65
105	-4.12	9.73
106	-5.35	12.13
107	0.68	14.75
108	-0.03	20.14
109	2	11.33
110	-0.1	10.43
111	-1.06	16.49
112	-1.03	20.02
113	3.26	17.62
114	0.6	14.44
115	-3.1	12.41
116	-0.7	9.58
117	-2.84	4.7
118	-5.44	2.82
119	-5.77	4.82
120	-5.6	3.15
121	-3.3	6.93
122	-0.82	10.92
123	-0.86	8.26
124	-2.89	-0.37
125	-3.72	2.51
126	-3.64	11.88
127	0.38	11.05
128	1.45	12.4
129	1.69	17.75
130	6.33	18.97
131	0.95	23.76
132	10.85	21.87
133	5.81	19.24
134	7.83	19.98
135	7.59	17.05
136	5.26	7.98
137	2.36	6.98
138	1.65	6.23
139	1.13	11.31
140	-2.07	9.43
141	3.46	7.14
142	2.7	17.99
143	4.46	20.65
144	6.83	16.71
145	3.81	11.55
146	1.07	16.8
147	3.01	19.8
148	4.78	22.17
149	5.7	26.3
150	10.83	23.79
151	9.15	21.98
152	7.07	27.33
153	9.95	25.81
154	10.59	24.72
155	7.67	23.45
156	5.54	22.54
157	6.96	17.88
158	2.16	7.9
159	3.31	14.17
160	2.2	19.24
161	5.61	19.42
162	6.23	21.31
163	8.56	25
164	11.74	27.54
165	11.29	18.87
166	10.53	20.84
167	7.1	21.94
168	7.41	24.41
169	10.27	20.91
170	6.55	15.27
171	5.24	12.15
172	5.05	11.93
173	7.43	19.58
174	9.69	17.86
175	8.31	18.4
176	7.64	18.2
177	7.56	20.91
178	8.17	15.8
179	4.75	21.49
180	6.8	20.4
181	7.5	21.2
182	8.08	24.58
183	6.67	17.4
184	6.85	18.16
185	8.25	11.09
186	7.85	14.27
187	10.17	22.55
188	8.83	20.42
189	9.85	18.76
190	10.04	21.02
191	11.59	25.28
192	10.57	22.62
193	11.08	24.84
194	12.07	24.35
195	9.54	23.05
196	8.68	21.32
197	11.04	19.02
198	7.82	22.49
199	8.28	19.08
200	6.85	14.79
201	9.59	18.12
202	6.76	21.63
203	8.64	25.66
204	13.49	29.91
205	13.2	23.17
206	12.64	25.16
207	9.1	27.42
208	13.62	28.05
209	10.82	21.77
210	8.56	23.17
211	9.83	25.6
212	9.33	25.32
213	11.93	25.98
214	10.9	30.4
215	12.26	24.42
216	9.44	24.04
217	9.34	26.18
218	11.51	20.57
219	10.74	22.81
220	11.79	28.41
221	10.39	18
222	9.77	14.05
223	9.81	16.64
224	11.38	14.73
225	11.18	20.53
226	9.88	21.97
227	10.36	24.47
228	8.34	17.91
229	4.74	18.25
230	10.22	24.48
231	7.05	19.3
232	8.8	25.47
233	10.67	31.07
234	11.2	21.21
235	10.36	24.01
236	9	22.82
237	6.83	18.29
238	7.39	16.79
239	3.39	22.85
240	11.92	18.49
241	10.28	20.72
242	7.07	20.76
243	6.87	18.37
244	10.98	16.2
245	10.14	20.99
246	6.05	24.81
247	9.88	24.49
248	8.93	21.8
249	7.94	18.74
250	9.68	25.05
251	11.07	15.61
252	6.71	11.41
253	5.65	9.47
254	6.31	15.73
255	4.27	21.12
256	8.7	19.44
257	6.57	20.23
258	11.16	22.66
259	8.24	19.93
260	7.96	17.59
261	3.66	16.47
262	6.88	15.43
263	6.6	15.31
264	2.97	19.51
265	6.74	22.2
266	6.01	15.68
267	4.27	15.69
268	3.41	16.28
269	2.2	10.62
270	-2.81	3.89
271	-3.69	-1.11
272	-3.23	-1.79
273	-4.82	0.87
274	-8.3	4.35
275	-4.07	9.69
276	-3.58	10.3
277	-0.95	13.52
278	3.8	13.28
279	4.72	16.74
280	0.87	17.74
281	-7.46	2.1
282	-9.88	-3.09
283	-11.85	3.21
284	-7.42	6.35
285	-5.73	12.43
286	-0.25	8.07
287	-2.94	4.77
288	-4.08	10.39
289	4.18	18.09
290	1.25	14.3
291	-1.05	11.52
292	-1.14	8.14
293	-6.72	7.33
294	-3.71	10.57
295	-3.29	13.1
296	-2.27	5.92
297	-1.98	15.46
298	0.33	17.6
299	-5.41	0.57
300	-6.86	2.83
301	-13.41	-2.74
302	-17.93	-2.97
303	-11.51	8.22
304	-3.06	4.2
305	-6.48	6.31
306	-3.17	8.58
307	-2.49	3.2
308	-2.97	-0.22
309	-11.53	0.56
310	-16.73	-4.24
311	-12.4	8.13
312	1.97	11.85
313	-10.93	3.08
314	-19.13	-10.86
315	-18.44	5.4
316	-1.41	6.16
317	-1.4	10.23
318	-3.68	7.06
319	2.62	10.97
320	-0.68	8.04
321	1.39	14.46
322	-0.29	9.48
323	-1.72	1.92
324	-10.67	-0.54
325	-9.79	4.5
326	-4.41	9.36
327	2.08	10.32
328	-1.24	6.96
329	-7.38	0.71
330	-8.29	-4.19
331	-14.65	-7.94
332	-19.9	-12.91
333	-21.75	-10.88
334	-20.96	-9.66
335	-13.82	2.92
336	-0.6	4.08
337	-3.18	8.93
338	-7.75	-0.2
339	-11.93	-3.16
340	-11.89	-0.2
341	-10.21	0.42
342	-18.05	-6.2
343	-8.53	-1.79
344	-12.12	-2.54
345	-12.46	-5.75
346	-13.27	-4.17
347	-14.51	-10.44
348	-14.99	-2.94
349	-15.31	-3.69
350	-12.2	0.92
